ITEM	PRICE	SUMMARY	STEP	EXCEL
MacBook Pro Retinaディスプレイ 2200/15.4 MGXA2J/A	176989	190049.843	187176.36	191544.5932
MacBook Pro Retinaディスプレイ 2500/15.4 MGXC2J/A	221939	198241.943	196431.36	197772.4642
MacBook Pro Retinaディスプレイ 2600/13.3 MGX72J/A	118501	126065.087	124903.68	126911.6516
MacBook Pro Retinaディスプレイ 2600/13.3 MGX82J/A	135932	134545.855	133937.92	134749.8532
MacBook Pro Retinaディスプレイ 2800/13.3 MGX92J/A	163436	156968.791	158176.4	154578.1704
MacBook Air 1400/11.6 MD711J/B	80137	88472.687	87883.68	92188.1036
MacBook Air 1400/11.6 MD712J/B	98398	96953.455	96917.92	100026.3052
MacBook Air 1400/13.3 MD760J/B	89790	88472.687	87883.68	92188.1036
MacBook Air 1400/13.3 MD761J/B	110426	96953.455	96917.92	100026.3052
MacBook Pro Retinaディスプレイ 2000/15.4 ME293J/A	173040	174940.443	181006.36	167768.5512
MacBook Pro Retinaディスプレイ 2300/15.4 ME294J/A	200999	209742.079	208329.84	209296.9534
MacBook Pro Retinaディスプレイ 2400/13.3 ME864J/A	112800	115779.687	118733.68	112947.6736
MacBook Pro Retinaディスプレイ 2400/13.3 ME865J/A	131500	129084.455	127767.92	130597.9392
MacBook Pro Retinaディスプレイ 2600/13.3 ME866J/A	144999	151507.391	152006.4	150426.2564
MacBook Air 1300/11.6 MD712J/A	93100	94222.755	93832.92	97950.3482
